date,state,price
2022-1,Johor,4.525127794757139
2022-2,Johor,4.52233975704581
2022-3,Johor,4.548727441463086
2022-4,Johor,4.578417201621998
2022-5,Johor,4.5402909352539425
2022-6,Johor,4.594592971820078
2022-7,Johor,4.81283871804801
2022-8,Johor,4.7628309278896435
2022-9,Johor,4.761497613069041
2022-10,Johor,4.852015214846465
2022-11,Johor,4.819524319013185
2022-12,Johor,4.91900756003256
2023-1,Johor,5.018303145004994
2023-2,Johor,5.104744345948742
2023-3,Johor,5.1423914040269185
2023-4,Johor,5.157658358465666
2023-5,Johor,5.319704109255785
2023-6,Johor,5.321929237429237
2023-7,Johor,5.3547280335709235
2023-8,Johor,5.391543634934977
2023-9,Johor,5.385562553250713
2023-10,Johor,5.4051880264726595
2023-11,Johor,5.406994301111062
2022-1,Kedah,4.321565698841465
2022-2,Kedah,4.373969784323805
2022-3,Kedah,4.3277294843710505
2022-4,Kedah,4.4971188441962004
2022-5,Kedah,4.516265108642692
2022-6,Kedah,4.491308207089714
2022-7,Kedah,4.595314224064224
2022-8,Kedah,4.655906530600202
2022-9,Kedah,4.657742487775383
2022-10,Kedah,4.639562018242939
2022-11,Kedah,4.744409625184941
2022-12,Kedah,4.815156375501357
2023-1,Kedah,4.850260319023477
2023-2,Kedah,4.816210331641095
2023-3,Kedah,4.928887910798123
2023-4,Kedah,5.100144800158788
2023-5,Kedah,5.096305389705382
2023-6,Kedah,5.109032754010244
2023-7,Kedah,5.1025556166407435
2023-8,Kedah,5.114130650599401
2023-9,Kedah,4.958875745058849
2023-10,Kedah,5.123062174334659
2023-11,Kedah,5.121027285762484
2022-1,Kelantan,4.462737110691615
2022-2,Kelantan,4.491716948122063
2022-3,Kelantan,4.596365280930363
2022-4,Kelantan,4.557703040841942
2022-5,Kelantan,4.653429360450405
2022-6,Kelantan,4.73171862252331
2022-7,Kelantan,4.80087404482132
2022-8,Kelantan,4.87039426000127
2022-9,Kelantan,4.8680610416666665
2022-10,Kelantan,4.9386040209733695
2022-11,Kelantan,5.104508432855594
2022-12,Kelantan,5.087637669820564
2023-1,Kelantan,4.906062194846784
2023-2,Kelantan,5.047797098901099
2023-3,Kelantan,5.053554605029211
2023-4,Kelantan,5.10954292242201
2023-5,Kelantan,5.042671825580952
2023-6,Kelantan,5.217966632798132
2023-7,Kelantan,5.258745709258428
2023-8,Kelantan,5.187879278202113
2023-9,Kelantan,5.3963061202928895
2023-10,Kelantan,5.357864460686601
2023-11,Kelantan,5.2380685558077476
2022-1,Melaka,4.357280594767551
2022-2,Melaka,4.410587238848109
2022-3,Melaka,4.428201581027668
2022-4,Melaka,4.489590062111802
2022-5,Melaka,4.518641304347826
2022-6,Melaka,4.481575
2022-7,Melaka,4.68116268115942
2022-8,Melaka,4.682699033816426
2022-9,Melaka,4.736008333333333
2022-10,Melaka,4.724236111111112
2022-11,Melaka,4.80059358974359
2022-12,Melaka,4.815822628458498
2023-1,Melaka,4.894640920673529
2023-2,Melaka,5.040333850931677
2023-3,Melaka,5.022401515151516
2023-4,Melaka,5.063145762958119
2023-5,Melaka,5.151794927536232
2023-6,Melaka,5.128612137681159
2023-7,Melaka,5.1249801587301596
2023-8,Melaka,5.174322446072447
2023-9,Melaka,5.137690217391304
2023-10,Melaka,5.152356231884058
2023-11,Melaka,5.187761629674673
2022-1,Negeri Sembilan,4.298901350488038
2022-2,Negeri Sembilan,4.299988385488386
2022-3,Negeri Sembilan,4.286592977592978
2022-4,Negeri Sembilan,4.359581512605042
2022-5,Negeri Sembilan,4.425268900652366
2022-6,Negeri Sembilan,4.530798558897243
2022-7,Negeri Sembilan,4.649218687310793
2022-8,Negeri Sembilan,4.6633561877667145
2022-9,Negeri Sembilan,4.656418972109762
2022-10,Negeri Sembilan,4.728822874493927
2022-11,Negeri Sembilan,4.840581145739041
2022-12,Negeri Sembilan,4.824919648219648
2023-1,Negeri Sembilan,4.8174203832315285
2023-2,Negeri Sembilan,4.890141773352299
2023-3,Negeri Sembilan,4.951539086687307
2023-4,Negeri Sembilan,5.0022835497835505
2023-5,Negeri Sembilan,5.1228307656395895
2023-6,Negeri Sembilan,5.0972629614909035
2023-7,Negeri Sembilan,5.078103603603604
2023-8,Negeri Sembilan,5.086216364716364
2023-9,Negeri Sembilan,5.143019317394318
2023-10,Negeri Sembilan,5.1398175048113135
2023-11,Negeri Sembilan,5.119866741741742
2022-1,Pahang,4.346783426989677
2022-2,Pahang,4.299582117834197
2022-3,Pahang,4.352162437343359
2022-4,Pahang,4.4241938070298765
2022-5,Pahang,4.421259074410163
2022-6,Pahang,4.506564707376152
2022-7,Pahang,4.585411673386574
2022-8,Pahang,4.640255053334823
2022-9,Pahang,4.661832731952733
2022-10,Pahang,4.667879166136994
2022-11,Pahang,4.696782051282051
2022-12,Pahang,4.752538220551378
2023-1,Pahang,4.837447484619206
2023-2,Pahang,4.94270449593979
2023-3,Pahang,5.020698724309327
2023-4,Pahang,5.113387903176636
2023-5,Pahang,5.0856338028169015
2023-6,Pahang,5.224428987678988
2023-7,Pahang,5.2093211361737675
2023-8,Pahang,5.3096463371266
