date,state,price
2022-1,Johor,18.452406832298138
2022-2,Johor,18.61043513957307
2022-3,Johor,18.406814814814812
2022-4,Johor,18.650932773109247
2022-5,Johor,19.04118473895582
2022-6,Johor,18.85851132686084
2022-7,Johor,19.473238095238095
2022-8,Johor,19.885266666666666
2022-9,Johor,19.96808823529412
2022-10,Johor,19.73983818770226
2022-11,Johor,20.639631410256406
2022-12,Johor,20.85991015274034
2023-1,Johor,20.73993533015657
2023-2,Johor,21.114485294117646
2023-3,Johor,21.214
2023-4,Johor,20.687894736842107
2023-5,Johor,20.083797979797982
2023-6,Johor,21.002383177570096
2023-7,Johor,20.59537735849057
2023-8,Johor,21.065245098039213
2023-9,Johor,20.485634735202492
2023-10,Johor,21.576078431372544
2023-11,Johor,21.236122448979593
2022-1,Kedah,17.51657581545695
2022-2,Kedah,17.457631578947368
2022-3,Kedah,17.643246753246753
2022-4,Kedah,17.98675
2022-5,Kedah,18.48552631578947
2022-6,Kedah,19.110142857142858
2022-7,Kedah,19.150797101449275
2022-8,Kedah,19.07929577464789
2022-9,Kedah,19.2156338028169
2022-10,Kedah,19.501866666666665
2022-11,Kedah,20.10821917808219
2022-12,Kedah,20.291733333333333
2023-1,Kedah,20.423346973734297
2023-2,Kedah,20.50162162162162
2023-3,Kedah,20.246233766233768
2023-4,Kedah,20.281948051948053
2023-5,Kedah,20.553026315789477
2023-6,Kedah,20.245466666666665
2023-7,Kedah,19.899594594594596
2023-8,Kedah,20.158
2023-9,Kedah,19.888194444444444
2023-10,Kedah,19.951408450704225
2023-11,Kedah,19.79418918918919
2022-1,Kelantan,17.56038840203397
2022-2,Kelantan,17.99708955223881
2022-3,Kelantan,18.20699248120301
2022-4,Kelantan,18.39776923076923
2022-5,Kelantan,18.94174418604651
2022-6,Kelantan,19.17832116788321
2022-7,Kelantan,19.77740458015267
2022-8,Kelantan,19.57536231884058
2022-9,Kelantan,19.9525
2022-10,Kelantan,19.99015503875969
2022-11,Kelantan,20.67173553719008
2022-12,Kelantan,20.77851239669421
2023-1,Kelantan,20.877337398373985
2023-2,Kelantan,21.023082706766917
2023-3,Kelantan,20.914987654320985
2023-4,Kelantan,20.80097014925373
2023-5,Kelantan,21.228346456692915
2023-6,Kelantan,21.417868217054263
2023-7,Kelantan,20.71252032520325
2023-8,Kelantan,20.959692307692308
2023-9,Kelantan,20.482786458333333
2023-10,Kelantan,21.223731343283585
2023-11,Kelantan,20.605496183206103
2022-1,Melaka,17.908241626794258
2022-2,Melaka,18.148695652173917
2022-3,Melaka,18.257619047619045
2022-4,Melaka,18.47
2022-5,Melaka,18.86590909090909
2022-6,Melaka,19.065
2022-7,Melaka,19.32923076923077
2022-8,Melaka,19.570833333333333
2022-9,Melaka,19.48875
2022-10,Melaka,19.669565217391305
2022-11,Melaka,19.941666666666663
2022-12,Melaka,20.265833333333333
2023-1,Melaka,20.385619047619045
2023-2,Melaka,20.418181818181814
2023-3,Melaka,20.364761904761902
2023-4,Melaka,20.46
2023-5,Melaka,20.01363636363636
2023-6,Melaka,20.31083333333333
2023-7,Melaka,20.222916666666663
2023-8,Melaka,20.580416666666668
2023-9,Melaka,20.3684
2023-10,Melaka,20.44625
2023-11,Melaka,19.977272727272727
2022-1,Negeri Sembilan,17.826617647058825
2022-2,Negeri Sembilan,17.678125
2022-3,Negeri Sembilan,18.19969696969697
2022-4,Negeri Sembilan,18.5134375
2022-5,Negeri Sembilan,18.694193548387094
2022-6,Negeri Sembilan,19.223030303030303
2022-7,Negeri Sembilan,19.5421875
2022-8,Negeri Sembilan,19.36558823529412
2022-9,Negeri Sembilan,19.743157894736843
2022-10,Negeri Sembilan,19.732
2022-11,Negeri Sembilan,20.48
2022-12,Negeri Sembilan,20.32774193548387
2023-1,Negeri Sembilan,20.447038539553752
2023-2,Negeri Sembilan,20.50558823529412
2023-3,Negeri Sembilan,20.57393939393939
2023-4,Negeri Sembilan,20.293125
2023-5,Negeri Sembilan,20.063
2023-6,Negeri Sembilan,20.241666666666667
2023-7,Negeri Sembilan,19.83533333333333
2023-8,Negeri Sembilan,20.49241379310345
2023-9,Negeri Sembilan,20.150666666666663
2023-10,Negeri Sembilan,20.633666666666667
2023-11,Negeri Sembilan,20.21375
2022-1,Pahang,18.33059357076164
2022-2,Pahang,18.595892857142857
2022-3,Pahang,18.78764150943396
2022-4,Pahang,18.07642857142857
2022-5,Pahang,18.240943396226413
2022-6,Pahang,19.239761904761906
2022-7,Pahang,19.953970588235293
2022-8,Pahang,20.050625
2022-9,Pahang,20.05661971830986
2022-10,Pahang,19.67231884057971
2022-11,Pahang,20.33642857142857
2022-12,Pahang,20.443521126760565
2023-1,Pahang,20.605314009661836
2023-2,Pahang,20.977720588235293
2023-3,Pahang,20.503999999999998
2023-4,Pahang,20.591617647058825
2023-5,Pahang,19.754153846153844
2023-6,Pahang,20.99876923076923
2023-7,Pahang,20.839609375000002
2023-8,Pahang,20.26619718309859
2023-9,Pahang,20.390367647058824
2023-10,Pahang,20.54358208955224
2023-11,Pahang,20.11142857142857
2022-1,Perak,17.511272893772894
2022-2,Perak,17.83215053763441
2022-3,Perak,18.059565217391302
2022-4,Perak,18.22380434782609
2022-5,Perak,18.82354838709677
2022-6,Perak,19.197444444444443
2022-7,Perak,19.419310344827583
2022-8,Perak,19.068461538461538
2022-9,Perak,19.48211111111111
2022-10,Perak,19.543313253012045
2022-11,Perak,20.306
2022-12,Perak,20.378636363636364
2023-1,Perak,19.99350472040668
2023-2,Perak,20.434022988505745
2023-3,Perak,20.216395348837207
2023-4,Perak,19.009715909090907
2023-5,Perak,20.04855555555556
2023-6,Perak,19.003483146067417
2023-7,Perak,19.73494505494505
2023-8,Perak,20.206666666666667
2023-9,Perak,19.68569892473118
2023-10,Perak,20.441136363636364
2023-11,Perak,19.688695652173912
2022-1,Perlis,17.927425120772945
2022-2,Perlis,17.89938775510204
2022-3,Perlis,18.09906976744186
2022-4,Perlis,18.34
2022-5,Perlis,18.63285714285714
2022-6,Perlis,19.104242424242425
2022-7,Perlis,19.148064516129036
2022-8,Perlis,19.671142857142858
2022-9,Perlis,19.64513513513513
2022-10,Perlis,19.95108108108108
2022-11,Perlis,20.42939393939394
2022-12,Perlis,21.00945945945946
2023-1,Perlis,21.001934389140267
2023-2,Perlis,21.144571428571428
2023-3,Perlis,21.28705882352941
2023-4,Perlis,20.828709677419354
2023-5,Perlis,21.101176470588232
2023-6,Perlis,20.5153125
2023-7,Perlis,20.667777777777776
2023-8,Perlis,20.328484848484848
2023-9,Perlis,20.36263157894737
2023-10,Perlis,20.13
2023-11,Perlis,19.872285714285717
2022-1,Pulau Pinang,17.902739055299538
2022-2,Pulau Pinang,18.17546875
2022-3,Pulau Pinang,16.94853448275862
2022-4,Pulau Pinang,18.41175438596491
2022-5,Pulau Pinang,18.9284126984127
2022-6,Pulau Pinang,19.31047619047619
2022-7,Pulau Pinang,19.37301886792453
2022-8,Pulau Pinang,19.45625
2022-9,Pulau Pinang,19.304
2022-10,Pulau Pinang,19.536923076923078
2022-11,Pulau Pinang,20.09677966101695
2022-12,Pulau Pinang,20.35859375
2023-1,Pulau Pinang,20.376939240176945
2023-2,Pulau Pinang,20.45457627118644
2023-3,Pulau Pinang,20.176101694915253
2023-4,Pulau Pinang,20.507457627118644
2023-5,Pulau Pinang,20.44292307692308
2023-6,Pulau Pinang,20.138230769230766
2023-7,Pulau Pinang,20.030454545454543
2023-8,Pulau Pinang,20.766615384615385
2023-9,Pulau Pinang,20.277377049180327
2023-10,Pulau Pinang,20.325806451612905
2023-11,Pulau Pinang,20.157692307692308
