date,state,price
2022-1,Johor,7.792213050314466
2022-2,Johor,7.830909090909091
2022-3,Johor,7.93891304347826
2022-4,Johor,7.832083333333333
2022-5,Johor,7.9056
2022-6,Johor,7.447909090909091
2022-7,Johor,9.393583333333334
2022-8,Johor,9.901803278688524
2022-9,Johor,7.918833333333334
2022-10,Johor,8.138589743589744
2022-11,Johor,8.404827586206897
2022-12,Johor,8.578333333333333
2023-1,Johor,8.582142857142857
2023-2,Johor,8.672884615384614
2023-3,Johor,8.839181818181817
2023-4,Johor,9.060625
2023-5,Johor,9.22642857142857
2023-6,Johor,9.301
2023-7,Johor,9.308166666666668
2023-8,Johor,9.329830508474576
2023-9,Johor,9.531190476190476
2023-10,Johor,9.487407407407408
2023-11,Johor,9.769910714285714
2022-1,Kedah,7.822
2022-2,Kedah,7.8914285714285715
2022-3,Kedah,7.889302325581395
2022-4,Kedah,7.896136363636364
2022-5,Kedah,7.943191489361702
2022-6,Kedah,7.964888888888889
2022-7,Kedah,7.859318181818182
2022-8,Kedah,7.939512195121951
2022-9,Kedah,7.869333333333333
2022-10,Kedah,7.98906976744186
2022-11,Kedah,8.174761904761905
2022-12,Kedah,8.3522
2023-1,Kedah,8.588107808340729
2023-2,Kedah,8.743260869565217
2023-3,Kedah,9.03818181818182
2023-4,Kedah,9.021063829787234
2023-5,Kedah,9.031063829787234
2023-6,Kedah,9.07470588235294
2023-7,Kedah,9.209607843137254
2023-8,Kedah,9.167321428571428
2023-9,Kedah,9.34037037037037
2023-10,Kedah,9.41851851851852
2023-11,Kedah,9.528
2022-1,Kelantan,7.833218045112781
2022-2,Kelantan,7.915151515151515
2022-3,Kelantan,7.971515151515152
2022-4,Kelantan,7.955
2022-5,Kelantan,7.909230769230769
2022-6,Kelantan,7.899285714285715
2022-7,Kelantan,7.942413793103449
2022-8,Kelantan,7.960645161290323
2022-9,Kelantan,7.97
2022-10,Kelantan,7.9892
2022-11,Kelantan,8.349615384615385
2022-12,Kelantan,8.453461538461537
2023-1,Kelantan,8.532958333333333
2023-2,Kelantan,8.666896551724138
2023-3,Kelantan,8.471499999999999
2023-4,Kelantan,8.84
2023-5,Kelantan,8.998571428571429
2023-6,Kelantan,9.14909090909091
2023-7,Kelantan,9.203030303030303
2023-8,Kelantan,9.349666666666668
2023-9,Kelantan,9.421621621621622
2023-10,Kelantan,9.472631578947368
2023-11,Kelantan,9.575
2022-1,Melaka,7.781590909090909
2022-2,Melaka,7.788461538461538
2022-3,Melaka,7.845454545454545
2022-4,Melaka,7.878888888888889
2022-5,Melaka,7.817777777777778
2022-6,Melaka,7.943076923076924
2022-7,Melaka,7.905714285714287
2022-8,Melaka,7.917692307692308
2022-9,Melaka,7.884285714285714
2022-10,Melaka,7.755
2022-11,Melaka,7.755
2022-12,Melaka,8.233333333333333
2023-1,Melaka,8.501904761904761
2023-2,Melaka,8.6
2023-3,Melaka,8.83
2023-4,Melaka,8.924444444444443
2023-5,Melaka,9.056666666666668
2023-6,Melaka,8.961
2023-7,Melaka,8.901
2023-8,Melaka,9.001000000000001
2023-9,Melaka,9.199000000000002
2023-10,Melaka,9.581818181818182
2023-11,Melaka,9.783333333333331
2022-1,Negeri Sembilan,7.690975935828877
2022-2,Negeri Sembilan,7.68470588235294
2022-3,Negeri Sembilan,7.796111111111112
2022-4,Negeri Sembilan,7.78421052631579
2022-5,Negeri Sembilan,7.888181818181818
2022-6,Negeri Sembilan,7.857368421052631
2022-7,Negeri Sembilan,7.948125
2022-8,Negeri Sembilan,7.978499999999999
2022-9,Negeri Sembilan,7.884444444444444
2022-10,Negeri Sembilan,7.970000000000001
2022-11,Negeri Sembilan,8.1065
2022-12,Negeri Sembilan,8.526666666666666
2023-1,Negeri Sembilan,8.54111111111111
2023-2,Negeri Sembilan,8.6995
2023-3,Negeri Sembilan,9.0775
2023-4,Negeri Sembilan,9.2055
2023-5,Negeri Sembilan,9.185
2023-6,Negeri Sembilan,9.2455
2023-7,Negeri Sembilan,9.16090909090909
2023-8,Negeri Sembilan,9.239565217391304
2023-9,Negeri Sembilan,9.273
2023-10,Negeri Sembilan,9.366428571428573
2023-11,Negeri Sembilan,9.58235294117647
2022-1,Pahang,7.584722222222222
2022-2,Pahang,7.648620689655172
2022-3,Pahang,7.641379310344828
2022-4,Pahang,7.6812
2022-5,Pahang,7.728095238095237
2022-6,Pahang,7.96625
2022-7,Pahang,7.926896551724138
2022-8,Pahang,8.046206896551725
2022-9,Pahang,8.108148148148148
2022-10,Pahang,8.152608695652173
2022-11,Pahang,8.156666666666666
2022-12,Pahang,8.536
2023-1,Pahang,8.685208333333334
2023-2,Pahang,8.768571428571429
2023-3,Pahang,9.134
2023-4,Pahang,9.335384615384616
2023-5,Pahang,8.951428571428572
2023-6,Pahang,9.43625
2023-7,Pahang,9.501111111111111
2023-8,Pahang,9.600454545454546
2023-9,Pahang,9.68318181818182
2023-10,Pahang,9.7365
2023-11,Pahang,9.793809523809523
2022-1,Perak,7.775179680567879
2022-2,Perak,7.701999999999999
2022-3,Perak,7.834528301886793
2022-4,Perak,7.81537037037037
2022-5,Perak,7.846122448979591
2022-6,Perak,7.692
2022-7,Perak,7.706538461538462
2022-8,Perak,7.941428571428572
2022-9,Perak,7.939636363636364
2022-10,Perak,8.062407407407408
2022-11,Perak,8.230196078431373
2022-12,Perak,8.505217391304347
2023-1,Perak,8.674192307692309
2023-2,Perak,8.708703703703705
2023-3,Perak,9.059795918367348
2023-4,Perak,8.982999999999999
2023-5,Perak,9.161311475409835
2023-6,Perak,9.01139344262295
2023-7,Perak,9.138793103448275
2023-8,Perak,9.19779661016949
2023-9,Perak,9.3815873015873
2023-10,Perak,9.397377049180328
2023-11,Perak,9.477333333333332
2022-1,Perlis,7.755416666666667
2022-2,Perlis,7.85
2022-3,Perlis,7.896
2022-4,Perlis,8.124166666666666
