date,state,price
2022-1,Johor,8.532922107251375
2022-2,Johor,8.674942528735633
2022-3,Johor,8.604242424242424
2022-4,Johor,8.722891566265059
2022-5,Johor,8.726495726495727
2022-6,Johor,8.871382783882785
2022-7,Johor,9.105381944444446
2022-8,Johor,9.270521885521886
2022-9,Johor,9.1809793814433
2022-10,Johor,9.064513157894737
2022-11,Johor,9.61980882352941
2022-12,Johor,9.75883141762452
2023-1,Johor,9.775892328861367
2023-2,Johor,9.903235294117646
2023-3,Johor,9.867831978319783
2023-4,Johor,9.826363636363636
2023-5,Johor,9.748303212851406
2023-6,Johor,10.161759941089837
2023-7,Johor,9.87264705882353
2023-8,Johor,10.268349514563106
2023-9,Johor,9.795355263157894
2023-10,Johor,10.477616459627328
2023-11,Johor,10.331428571428571
2022-1,Kedah,8.041436974789915
2022-2,Kedah,8.100963855421687
2022-3,Kedah,8.19841463414634
2022-4,Kedah,8.283595505617978
2022-5,Kedah,8.328125
2022-6,Kedah,8.582716049382716
2022-7,Kedah,8.705243902439024
2022-8,Kedah,8.780779220779221
2022-9,Kedah,8.777534246575343
2022-10,Kedah,8.804459459459459
2022-11,Kedah,8.875972222222224
2022-12,Kedah,9.090422535211268
2023-1,Kedah,9.267569444444444
2023-2,Kedah,9.37516129032258
2023-3,Kedah,9.424696969696967
2023-4,Kedah,9.483787878787878
2023-5,Kedah,9.513424657534246
2023-6,Kedah,9.506986301369864
2023-7,Kedah,9.512328767123288
2023-8,Kedah,9.471232876712328
2023-9,Kedah,9.49013698630137
2023-10,Kedah,9.541333333333334
2023-11,Kedah,9.51472972972973
2022-1,Kelantan,8.152771794871795
2022-2,Kelantan,8.2
2022-3,Kelantan,8.299016393442622
2022-4,Kelantan,8.355691056910569
2022-5,Kelantan,8.462231404958677
2022-6,Kelantan,8.635
2022-7,Kelantan,8.765860655737704
2022-8,Kelantan,8.808688524590165
2022-9,Kelantan,8.87778761061947
2022-10,Kelantan,8.92362831858407
2022-11,Kelantan,9.063873873873874
2022-12,Kelantan,9.305
2023-1,Kelantan,9.425514439673318
2023-2,Kelantan,9.617333333333333
2023-3,Kelantan,9.689014492753623
2023-4,Kelantan,9.685471698113208
2023-5,Kelantan,9.74785046728972
2023-6,Kelantan,9.98453781512605
2023-7,Kelantan,9.800086206896552
2023-8,Kelantan,9.817203389830508
2023-9,Kelantan,9.742136752136753
2023-10,Kelantan,9.827948717948718
2023-11,Kelantan,9.833553719008265
2022-1,Melaka,8.323009153318079
2022-2,Melaka,8.322857142857142
2022-3,Melaka,8.400454545454545
2022-4,Melaka,8.509545454545455
2022-5,Melaka,8.498260869565218
2022-6,Melaka,8.6175
2022-7,Melaka,8.796956521739132
2022-8,Melaka,8.837727272727273
2022-9,Melaka,8.706315789473685
2022-10,Melaka,8.9315
2022-11,Melaka,9.099545454545456
2022-12,Melaka,9.40409090909091
2023-1,Melaka,9.603505434782608
2023-2,Melaka,9.727272727272728
2023-3,Melaka,9.75
2023-4,Melaka,9.790909090909093
2023-5,Melaka,9.8
2023-6,Melaka,9.74
2023-7,Melaka,9.7
2023-8,Melaka,9.728000000000002
2023-9,Melaka,9.72875
2023-10,Melaka,9.767727272727273
2023-11,Melaka,9.7525
2022-1,Negeri Sembilan,8.360423116615067
2022-2,Negeri Sembilan,8.321388888888889
2022-3,Negeri Sembilan,8.348823529411765
2022-4,Negeri Sembilan,8.430588235294117
2022-5,Negeri Sembilan,8.464285714285714
2022-6,Negeri Sembilan,8.751111111111111
2022-7,Negeri Sembilan,8.878
2022-8,Negeri Sembilan,8.9996875
2022-9,Negeri Sembilan,8.957837837837838
2022-10,Negeri Sembilan,9.00725
2022-11,Negeri Sembilan,9.277222222222225
2022-12,Negeri Sembilan,9.538055555555555
2023-1,Negeri Sembilan,9.556470588235296
2023-2,Negeri Sembilan,9.603529411764706
