date,state,price
2022-1,Johor,12.946760776680469
2022-2,Johor,12.81051679325166
2022-3,Johor,12.935757225407594
2022-4,Johor,13.020350009421518
2022-5,Johor,13.008869269619268
2022-6,Johor,12.915466983466985
2022-7,Johor,13.199747607655503
2022-8,Johor,13.07961293219146
2022-9,Johor,13.705328515507379
2022-10,Johor,13.027415883062087
2022-11,Johor,13.400326470997356
2022-12,Johor,13.194547897897897
2023-1,Johor,13.254095243641547
2023-2,Johor,13.439370469544519
2023-3,Johor,13.180779353294383
2023-4,Johor,13.13537629139561
2023-5,Johor,13.50033812889813
2023-6,Johor,13.937810277382646
2023-7,Johor,14.07499197429631
2023-8,Johor,14.293914170726282
2023-9,Johor,14.335595643939394
2023-10,Johor,14.565853186240284
2023-11,Johor,14.688259354995129
2022-1,Kedah,12.784821471623587
2022-2,Kedah,12.740786659003223
2022-3,Kedah,13.003250603864736
2022-4,Kedah,12.95866942394349
2022-5,Kedah,12.986683999131568
2022-6,Kedah,12.989314413265307
2022-7,Kedah,12.978974602293748
2022-8,Kedah,12.852028130360205
2022-9,Kedah,13.008495916515427
2022-10,Kedah,12.943074121598562
2022-11,Kedah,12.868448514106802
2022-12,Kedah,12.945303656651205
2023-1,Kedah,13.075110480572643
2023-2,Kedah,13.045536968085106
2023-3,Kedah,13.051091993010587
2023-4,Kedah,13.146684928221468
2023-5,Kedah,13.172496386054423
2023-6,Kedah,13.56699627081406
2023-7,Kedah,13.880756706753008
2023-8,Kedah,14.088170675300647
2023-9,Kedah,14.009312505256077
2023-10,Kedah,14.35057535701014
2023-11,Kedah,14.394168343768634
2022-1,Kelantan,12.845772328923763
2022-2,Kelantan,12.882177289678975
2022-3,Kelantan,13.02333108141996
2022-4,Kelantan,13.07341841899189
2022-5,Kelantan,12.874602977661027
2022-6,Kelantan,13.060752406117754
2022-7,Kelantan,13.093152025177886
2022-8,Kelantan,12.884420389079068
2022-9,Kelantan,13.037044356947307
2022-10,Kelantan,13.195990451712422
2022-11,Kelantan,13.16770255486515
2022-12,Kelantan,13.196615830435503
2023-1,Kelantan,13.181830149312486
2023-2,Kelantan,12.921539136302295
2023-3,Kelantan,13.055192928138629
2023-4,Kelantan,13.20979762937443
2023-5,Kelantan,13.186995762711865
2023-6,Kelantan,13.590442167575302
2023-7,Kelantan,14.081034326842229
2023-8,Kelantan,14.008801763811476
2023-9,Kelantan,14.445015636968277
2023-10,Kelantan,14.652241041962679
2023-11,Kelantan,14.817975396380774
2022-1,Melaka,12.660650106837608
2022-2,Melaka,12.657538461538461
2022-3,Melaka,12.864392857142857
2022-4,Melaka,13.154681318681318
2022-5,Melaka,12.913299450549452
2022-6,Melaka,13.10655068277311
2022-7,Melaka,13.175849527310925
2022-8,Melaka,13.056655982905982
2022-9,Melaka,13.064031593406593
2022-10,Melaka,12.947871989121987
2022-11,Melaka,12.642416666666668
2022-12,Melaka,12.851602564102564
2023-1,Melaka,12.916981351981352
2023-2,Melaka,12.96948717948718
2023-3,Melaka,13.1096336996337
2023-4,Melaka,13.247164835164835
2023-5,Melaka,13.48374945054945
2023-6,Melaka,13.643052083333332
2023-7,Melaka,14.192128571428572
2023-8,Melaka,14.404810606060604
2023-9,Melaka,14.630583333333334
2023-10,Melaka,14.459866666666667
2023-11,Melaka,14.728333333333332
2022-1,Negeri Sembilan,12.867733081769407
2022-2,Negeri Sembilan,12.719544513457556
2022-3,Negeri Sembilan,12.597550724637681
2022-4,Negeri Sembilan,12.872605862977602
2022-5,Negeri Sembilan,12.827364102564102
2022-6,Negeri Sembilan,12.732561405985319
2022-7,Negeri Sembilan,12.910467105263159
2022-8,Negeri Sembilan,12.78058185978781
2022-9,Negeri Sembilan,12.783771428571429
2022-10,Negeri Sembilan,13.004062848297213
2022-11,Negeri Sembilan,12.847796969696969
2022-12,Negeri Sembilan,12.922676948051947
2023-1,Negeri Sembilan,13.184004761904763
2023-2,Negeri Sembilan,12.976543859649123
2023-3,Negeri Sembilan,12.998555194805196
2023-4,Negeri Sembilan,13.029819499341238
2023-5,Negeri Sembilan,13.092511904761906
2023-6,Negeri Sembilan,13.684175312911727
2023-7,Negeri Sembilan,14.042805797101447
2023-8,Negeri Sembilan,13.995108695652174
2023-9,Negeri Sembilan,14.099639739789197
2023-10,Negeri Sembilan,14.141967418546367
2023-11,Negeri Sembilan,14.171457312091503
2022-1,Pahang,12.8588484834135
2022-2,Pahang,12.88121006006006
2022-3,Pahang,12.868105850905852
2022-4,Pahang,13.08416561435385
2022-5,Pahang,12.6906148989899
2022-6,Pahang,12.998302960305
2022-7,Pahang,13.063334643605872
2022-8,Pahang,12.932413085255067
2022-9,Pahang,13.093812899819477
2022-10,Pahang,13.052771345859169
2022-11,Pahang,13.009419214208183
2022-12,Pahang,13.11128503730591
2023-1,Pahang,13.139357761578044
2023-2,Pahang,13.115862129380053
2023-3,Pahang,12.99349892141915
2023-4,Pahang,13.109702947845806
2023-5,Pahang,13.332929305460786
2023-6,Pahang,14.0509545136736
2023-7,Pahang,14.350398456790124
2023-8,Pahang,14.481232936658706
2023-9,Pahang,14.485479361690329
2023-10,Pahang,14.51064861660079
2023-11,Pahang,14.654290471785384
2022-1,Perak,12.684396385555976
2022-2,Perak,12.44904759386568
2022-3,Perak,12.591944572977262
2022-4,Perak,12.72332478094569
2022-5,Perak,12.464686706262977
2022-6,Perak,12.73284978082714
2022-7,Perak,12.931950710108605
2022-8,Perak,12.525251960920821
2022-9,Perak,12.914196951414944
2022-10,Perak,12.790047947346485
2022-11,Perak,12.749417199222005
2022-12,Perak,12.944819184687317
2023-1,Perak,13.035465270935962
2023-2,Perak,12.77618767152669
2023-3,Perak,12.879593666369313
2023-4,Perak,13.155420427733404
2023-5,Perak,13.005506214689266
2023-6,Perak,13.748372266874082
2023-7,Perak,14.018314299165993
2023-8,Perak,14.288963636363636
2023-9,Perak,14.457623759608666
2023-10,Perak,14.239008717500823
2023-11,Perak,14.263604328523861
2022-1,Perlis,12.798116160499289
2022-2,Perlis,12.881591269841271
2022-3,Perlis,12.980916666666666
2022-4,Perlis,13.014891774891774
2022-5,Perlis,13.069295948616602
2022-6,Perlis,13.093509486166008
2022-7,Perlis,13.125375939849624
2022-8,Perlis,12.962634171479422
2022-9,Perlis,13.01820569828722
2022-10,Perlis,13.055224637681158
2022-11,Perlis,12.92973484848485
2022-12,Perlis,13.010535344041923
2023-1,Perlis,12.998422222222223
2023-2,Perlis,13.057637362637362
2023-3,Perlis,13.0514010989011
2023-4,Perlis,13.023599999999998
2023-5,Perlis,13.230052083333334
2023-6,Perlis,13.674371732026144
2023-7,Perlis,14.279517857142855
2023-8,Perlis,14.46151282051282
2023-9,Perlis,14.629301948051948
2023-10,Perlis,14.841360639360639
2023-11,Perlis,14.99963244047619
2022-1,Pulau Pinang,12.848642402283707
2022-2,Pulau Pinang,12.743200960977557
2022-3,Pulau Pinang,12.912137206764868
2022-4,Pulau Pinang,12.969051467496424
2022-5,Pulau Pinang,12.577188932806326
2022-6,Pulau Pinang,12.91395992278702
2022-7,Pulau Pinang,13.122173210364513
2022-8,Pulau Pinang,12.978319366421692
2022-9,Pulau Pinang,13.051516399059622
2022-10,Pulau Pinang,12.971391893424036
2022-11,Pulau Pinang,13.006811247105226
2022-12,Pulau Pinang,12.950378250591017
2023-1,Pulau Pinang,13.097119919827321
2023-2,Pulau Pinang,13.375293407679276
2023-3,Pulau Pinang,13.050942376776183
2023-4,Pulau Pinang,13.315131957473422
2023-5,Pulau Pinang,13.159125421662264
2023-6,Pulau Pinang,13.72315392015392
2023-7,Pulau Pinang,13.692351741644975
2023-8,Pulau Pinang,13.845921794871794
2023-9,Pulau Pinang,13.976427471116816
2023-10,Pulau Pinang,14.150405648267007
2023-11,Pulau Pinang,14.243775248933144
2022-1,Sabah,12.872898258941259
2022-2,Sabah,12.96360321031832
2022-3,Sabah,12.971575140160386
2022-4,Sabah,13.001274512412527
2022-5,Sabah,13.011111111111111
2022-6,Sabah,13.091361311618664
2022-7,Sabah,13.096394339622641
2022-8,Sabah,13.143621180323981
2022-9,Sabah,13.028037037037038
2022-10,Sabah,13.326795870146746
2022-11,Sabah,13.068724668064291
2022-12,Sabah,13.358373991487198
2023-1,Sabah,13.23616740569372
2023-2,Sabah,13.392941114785836
2023-3,Sabah,13.236314915458939
2023-4,Sabah,13.432929295265327
2023-5,Sabah,14.256850313458719
2023-6,Sabah,13.964245486719916
2023-7,Sabah,14.244641742499846
2023-8,Sabah,14.46669313369631
2023-9,Sabah,14.635350774225776
2023-10,Sabah,14.690162360446573
2023-11,Sabah,14.766795638571953
2022-1,Sarawak,12.92311081399178
2022-2,Sarawak,12.958894107744108
2022-3,Sarawak,12.95083141154189
2022-4,Sarawak,13.058185391990705
2022-5,Sarawak,12.939208152958154
2022-6,Sarawak,13.070687294318361
2022-7,Sarawak,13.09509635910816
2022-8,Sarawak,12.933319585819588
2022-9,Sarawak,13.021203623441032
2022-10,Sarawak,13.089607854319658
2022-11,Sarawak,13.177208488392699
2022-12,Sarawak,13.12271895642315
2023-1,Sarawak,13.21110534393282
2023-2,Sarawak,13.215384169884171
2023-3,Sarawak,13.231634833164813
2023-4,Sarawak,13.387142881800917
2023-5,Sarawak,13.916263561090153
2023-6,Sarawak,14.487093837535014
2023-7,Sarawak,14.587264404731338
2023-8,Sarawak,14.832093381747404
2023-9,Sarawak,14.732912048472835
2023-10,Sarawak,14.845678174396205
2023-11,Sarawak,14.639100322041498
2022-1,Selangor,12.865447033317915
2022-2,Selangor,12.867604713804715
2022-3,Selangor,12.884895644283123
2022-4,Selangor,13.08105516992586
2022-5,Selangor,12.736904430608377
2022-6,Selangor,12.790818483577917
2022-7,Selangor,12.918229210342417
2022-8,Selangor,12.876405660377358
2022-9,Selangor,12.133407022164883
2022-10,Selangor,13.379174492648213
2022-11,Selangor,12.974379845626073
2022-12,Selangor,13.267710625554571
2023-1,Selangor,13.24882599580713
2023-2,Selangor,13.276489901203917
2023-3,Selangor,13.052300024050023
2023-4,Selangor,12.742996260523775
2023-5,Selangor,13.319255354449473
2023-6,Selangor,13.677198278985507
2023-7,Selangor,13.883054968287524
2023-8,Selangor,13.951090373590375
2023-9,Selangor,13.965793564794339
2023-10,Selangor,14.033798955067923
2023-11,Selangor,14.050767857142857
2022-1,Terengganu,13.167920570132816
2022-2,Terengganu,13.197280481423338
2022-3,Terengganu,13.254864309954751
2022-4,Terengganu,13.324563134978229
2022-5,Terengganu,13.39908838470076
2022-6,Terengganu,13.5078751855034
2022-7,Terengganu,13.579998938879456
2022-8,Terengganu,13.307142225423512
2022-9,Terengganu,13.557686983262755
2022-10,Terengganu,13.719803983387141
2022-11,Terengganu,13.636267789945348
2022-12,Terengganu,13.53087221177945
2023-1,Terengganu,13.755534834925424
2023-2,Terengganu,13.530792805424056
2023-3,Terengganu,13.358085366755398
2023-4,Terengganu,13.393268402882521
2023-5,Terengganu,14.006878712715856
2023-6,Terengganu,14.102946266968326
2023-7,Terengganu,14.330393318943365
2023-8,Terengganu,14.608521175768823
2023-9,Terengganu,14.866833045451466
2023-10,Terengganu,14.839884061180928
2023-11,Terengganu,14.866929878048781
2022-1,W.P. Kuala Lumpur,13.244910923872913
2022-2,W.P. Kuala Lumpur,13.43380165413534
2022-3,W.P. Kuala Lumpur,13.345388243335611
2022-4,W.P. Kuala Lumpur,13.342336597044971
2022-5,W.P. Kuala Lumpur,13.19178352902805
2022-6,W.P. Kuala Lumpur,13.262895555555554
2022-7,W.P. Kuala Lumpur,13.341596158116811
2022-8,W.P. Kuala Lumpur,13.23443866793975
2022-9,W.P. Kuala Lumpur,13.326603207732141
2022-10,W.P. Kuala Lumpur,13.396696776277254
2022-11,W.P. Kuala Lumpur,13.332422972972973
2022-12,W.P. Kuala Lumpur,13.379441467382975
2023-1,W.P. Kuala Lumpur,13.507890511586403
2023-2,W.P. Kuala Lumpur,13.341781436365943
2023-3,W.P. Kuala Lumpur,13.54935012012012
2023-4,W.P. Kuala Lumpur,13.37996600979458
2023-5,W.P. Kuala Lumpur,13.917111884729062
2023-6,W.P. Kuala Lumpur,14.264357229266476
2023-7,W.P. Kuala Lumpur,14.718768362260667
2023-8,W.P. Kuala Lumpur,14.553164514393327
2023-9,W.P. Kuala Lumpur,14.628368155500414
2023-10,W.P. Kuala Lumpur,14.79715766402715
2023-11,W.P. Kuala Lumpur,14.846948935748282
2022-1,W.P. Labuan,12.65763888888889
2022-2,W.P. Labuan,12.818125
2022-3,W.P. Labuan,13.020833333333332
2022-4,W.P. Labuan,12.8155
2022-5,W.P. Labuan,12.637946428571428
2022-6,W.P. Labuan,12.806190476190476
2022-7,W.P. Labuan,13.103333333333333
2022-8,W.P. Labuan,13.108333333333334
2022-9,W.P. Labuan,13.079375
2022-10,W.P. Labuan,13.0905
2022-11,W.P. Labuan,13.102916666666665
2022-12,W.P. Labuan,13.145
2023-1,W.P. Labuan,13.116095238095237
2023-2,W.P. Labuan,13.12
2023-3,W.P. Labuan,13.118333333333332
2023-4,W.P. Labuan,13.16
2023-5,W.P. Labuan,13.346285714285713
2023-6,W.P. Labuan,13.510052910052911
2023-7,W.P. Labuan,13.794642857142856
2023-8,W.P. Labuan,14.096874999999999
2023-9,W.P. Labuan,14.667857142857144
2023-10,W.P. Labuan,14.569142857142856
2023-11,W.P. Labuan,14.78377976190476
2022-1,W.P. Putrajaya,13.36038011988012
2022-2,W.P. Putrajaya,13.458776515151516
2022-3,W.P. Putrajaya,13.516428571428571
2022-4,W.P. Putrajaya,13.644447552447554
2022-5,W.P. Putrajaya,13.173958333333337
2022-6,W.P. Putrajaya,13.41777132867133
2022-7,W.P. Putrajaya,13.675380952380952
