date,state,price
2022-1,Johor,4.211980159202965
2022-2,Johor,4.270211299275123
2022-3,Johor,4.357339071859512
2022-4,Johor,4.429342523598252
2022-5,Johor,4.499833092833093
2022-6,Johor,4.494265910698451
2022-7,Johor,4.57851446877397
2022-8,Johor,4.533765485919019
2022-9,Johor,4.54705822452637
2022-10,Johor,4.512036423931189
2022-11,Johor,4.557470410304204
2022-12,Johor,4.567323108823109
2023-1,Johor,4.612368542072551
2023-2,Johor,4.702903611855078
2023-3,Johor,4.744491223563747
2023-4,Johor,4.776426337052901
2023-5,Johor,4.812995762707984
2023-6,Johor,4.886199436306681
2023-7,Johor,4.827796380542291
2023-8,Johor,4.860593783515659
2023-9,Johor,4.931178721458937
2023-10,Johor,4.989475754223653
2023-11,Johor,4.968182221546388
2022-1,Kedah,4.111938909540412
2022-2,Kedah,4.241375413697938
2022-3,Kedah,4.316311443095757
2022-4,Kedah,4.36458607806243
2022-5,Kedah,4.393059314954051
2022-6,Kedah,4.413325418906301
2022-7,Kedah,4.416937914562915
2022-8,Kedah,4.41058353089932
2022-9,Kedah,4.42392239010989
2022-10,Kedah,4.448247850629614
2022-11,Kedah,4.442315660443842
2022-12,Kedah,4.4631889144905275
2023-1,Kedah,4.529843148271865
2023-2,Kedah,4.626372292103424
2023-3,Kedah,4.688840193322545
2023-4,Kedah,4.7547465318731446
2023-5,Kedah,4.777521217554645
2023-6,Kedah,4.7871353114913795
2023-7,Kedah,4.775724941724942
2023-8,Kedah,4.817359404197018
2023-9,Kedah,4.893447937569676
2023-10,Kedah,4.823562924507895
2023-11,Kedah,4.830137732365674
2022-1,Kelantan,4.219922820617435
2022-2,Kelantan,4.3957740356049175
2022-3,Kelantan,4.469262391860049
2022-4,Kelantan,4.477280616486056
2022-5,Kelantan,4.548887729285263
2022-6,Kelantan,4.552214045214045
2022-7,Kelantan,4.583170833333333
2022-8,Kelantan,4.565882692307692
2022-9,Kelantan,4.579927827380953
2022-10,Kelantan,4.518988934193294
2022-11,Kelantan,4.527351456471367
2022-12,Kelantan,4.543858134920635
2023-1,Kelantan,4.590337518042994
2023-2,Kelantan,4.779482502039024
2023-3,Kelantan,4.864676946285528
2023-4,Kelantan,4.904012307889017
2023-5,Kelantan,4.8193686693143505
2023-6,Kelantan,4.834641314058028
2023-7,Kelantan,4.870531307328078
2023-8,Kelantan,4.863461186414773
2023-9,Kelantan,4.85254997475832
2023-10,Kelantan,4.872807794027894
2023-11,Kelantan,4.850727955394563
2022-1,Melaka,4.100936551069704
2022-2,Melaka,4.223942687747035
2022-3,Melaka,4.336547313194052
2022-4,Melaka,4.412119047619048
2022-5,Melaka,4.443722943722944
2022-6,Melaka,4.409365800865801
2022-7,Melaka,4.424920454545455
2022-8,Melaka,4.40848346409502
2022-9,Melaka,4.420303104599443
2022-10,Melaka,4.440206400966184
2022-11,Melaka,4.464899271561771
2022-12,Melaka,4.456387179487179
2023-1,Melaka,4.450623078612209
2023-2,Melaka,4.637207225672878
2023-3,Melaka,4.694590909090909
2023-4,Melaka,4.7441963109354415
2023-5,Melaka,4.866817391304347
2023-6,Melaka,4.771064761325631
2023-7,Melaka,4.780593067426401
2023-8,Melaka,4.791301282051282
2023-9,Melaka,4.81851304347826
2023-10,Melaka,4.8139562294066645
2023-11,Melaka,4.799213333333332
2022-1,Negeri Sembilan,4.096702627294733
2022-2,Negeri Sembilan,4.308415691835047
2022-3,Negeri Sembilan,4.246826819598807
2022-4,Negeri Sembilan,4.387495474670807
2022-5,Negeri Sembilan,4.367150873655914
2022-6,Negeri Sembilan,4.413526375891266
2022-7,Negeri Sembilan,4.4386032196969705
2022-8,Negeri Sembilan,4.427499710115617
2022-9,Negeri Sembilan,4.371183600713012
2022-10,Negeri Sembilan,4.42083577158136
2022-11,Negeri Sembilan,4.4300248535777955
2022-12,Negeri Sembilan,4.426495179389916
2023-1,Negeri Sembilan,4.467604761904762
2023-2,Negeri Sembilan,4.531081081081081
2023-3,Negeri Sembilan,4.740463105963105
2023-4,Negeri Sembilan,4.8052750118539596
2023-5,Negeri Sembilan,4.809859667359667
2023-6,Negeri Sembilan,4.778321524966262
2023-7,Negeri Sembilan,4.773806616332932
2023-8,Negeri Sembilan,4.779016609488746
2023-9,Negeri Sembilan,4.788184269796112
2023-10,Negeri Sembilan,4.7793993993993995
2023-11,Negeri Sembilan,4.788106330014225
2022-1,Pahang,4.208941348003848
2022-2,Pahang,4.387378154420837
2022-3,Pahang,4.438884346919127
2022-4,Pahang,4.442441068245946
2022-5,Pahang,4.443216175809055
2022-6,Pahang,4.450050706033376
2022-7,Pahang,4.447132828553561
2022-8,Pahang,4.447234597505311
2022-9,Pahang,4.473976852375566
2022-10,Pahang,4.456490605575156
2022-11,Pahang,4.44734795845916
2022-12,Pahang,4.444191468253969
2023-1,Pahang,4.530711141381902
2023-2,Pahang,4.638681364468864
2023-3,Pahang,4.641483985748911
2023-4,Pahang,4.728078753128243
2023-5,Pahang,4.75064705882353
2023-6,Pahang,4.8013761870378655
2023-7,Pahang,4.817709187149581
2023-8,Pahang,4.871829637243753
2023-9,Pahang,4.861208041958042
2023-10,Pahang,4.861548709786945
2023-11,Pahang,4.8466519974590625
2022-1,Perak,4.091143178074481
2022-2,Perak,4.289921164180203
2022-3,Perak,4.372074210593328
2022-4,Perak,4.357130175448716
2022-5,Perak,4.3545360209071475
2022-6,Perak,4.385323320158103
2022-7,Perak,4.377637920993314
2022-8,Perak,4.353653667613941
2022-9,Perak,4.413144962807166
2022-10,Perak,4.4304440577285344
2022-11,Perak,4.445219675417044
2022-12,Perak,4.4317596916971915
2023-1,Perak,4.45283608605092
2023-2,Perak,4.635424055951957
2023-3,Perak,4.731939966027921
2023-4,Perak,4.7869965159279655
2023-5,Perak,4.792364381556734
2023-6,Perak,4.7846664601103255
2023-7,Perak,4.768191442515038
2023-8,Perak,4.793062307686216
2023-9,Perak,4.820625053753545
2023-10,Perak,4.792757022915604
2023-11,Perak,4.788594803370787
2022-1,Perlis,4.101718074549063
