date,state,price
2022-1,Johor,1.8544949494949494
2022-2,Johor,1.9067241379310342
2022-3,Johor,1.9055769230769233
2022-4,Johor,1.9039655172413792
2022-5,Johor,1.9372916666666666
2022-6,Johor,1.9378846153846154
2022-7,Johor,1.9360714285714287
2022-8,Johor,1.9401666666666664
2022-9,Johor,1.9408333333333332
2022-10,Johor,1.8434090909090908
2022-11,Johor,1.9472916666666666
2022-12,Johor,2.0494000000000003
2023-1,Johor,1.9118518518518517
2023-2,Johor,1.8988461538461536
2023-3,Johor,1.9248148148148148
2023-4,Johor,1.934642857142857
2023-5,Johor,2.0778333333333334
2023-6,Johor,2.0994230769230766
2023-7,Johor,1.9953571428571428
2023-8,Johor,2.099516129032258
2023-9,Johor,2.0668888888888888
2023-10,Johor,2.1042187500000002
2023-11,Johor,2.104090909090909
2022-1,Kedah,1.6835096153846154
2022-2,Kedah,1.6842857142857144
2022-3,Kedah,1.6984848484848485
2022-4,Kedah,1.7166666666666666
2022-5,Kedah,1.7133333333333334
2022-6,Kedah,1.7454545454545456
2022-7,Kedah,1.75
2022-8,Kedah,1.75
2022-9,Kedah,1.7428571428571429
2022-10,Kedah,1.7533333333333334
2022-11,Kedah,1.761290322580645
2022-12,Kedah,1.7741935483870968
2023-1,Kedah,1.7898268398268398
2023-2,Kedah,1.8114285714285716
2023-3,Kedah,1.8394736842105264
2023-4,Kedah,1.85
2023-5,Kedah,1.855263157894737
2023-6,Kedah,1.8657894736842109
2023-7,Kedah,1.8714285714285712
2023-8,Kedah,1.8857142857142857
2023-9,Kedah,1.8904761904761904
2023-10,Kedah,1.892682926829268
2023-11,Kedah,1.897619047619048
2022-1,Kelantan,1.7662878787878786
2022-2,Kelantan,1.7575757575757576
2022-3,Kelantan,1.76
2022-4,Kelantan,1.7774193548387098
2022-5,Kelantan,1.796875
2022-6,Kelantan,1.8083333333333331
2022-7,Kelantan,1.830434782608696
2022-8,Kelantan,1.8384615384615384
2022-9,Kelantan,1.8208333333333333
2022-10,Kelantan,1.864
2022-11,Kelantan,1.8741935483870968
2022-12,Kelantan,1.8861111111111115
2023-1,Kelantan,1.8816666666666666
2023-2,Kelantan,1.9
2023-3,Kelantan,1.8684782608695651
2023-4,Kelantan,1.9170212765957448
2023-5,Kelantan,1.961363636363636
2023-6,Kelantan,1.982051282051282
2023-7,Kelantan,1.9833333333333327
2023-8,Kelantan,1.9777777777777776
2023-9,Kelantan,1.9675
2023-10,Kelantan,2.0125
2023-11,Kelantan,2.01025641025641
2022-1,Melaka,1.765714285714286
2022-2,Melaka,1.7714285714285716
2022-3,Melaka,1.7714285714285716
2022-4,Melaka,1.7625
2022-5,Melaka,1.7857142857142858
2022-6,Melaka,1.7857142857142858
2022-7,Melaka,1.7833333333333332
2022-8,Melaka,1.82
2022-9,Melaka,1.82
2022-10,Melaka,1.8125
2022-11,Melaka,1.7999999999999998
2022-12,Melaka,1.8
2023-1,Melaka,1.8291666666666666
2023-2,Melaka,1.8333333333333333
2023-3,Melaka,1.9
2023-4,Melaka,1.9166666666666667
2023-5,Melaka,1.96
2023-6,Melaka,1.9666666666666668
2023-7,Melaka,1.925
2023-8,Melaka,1.955555555555556
2023-9,Melaka,1.9142857142857144
2023-10,Melaka,1.933333333333333
2023-11,Melaka,1.925
2022-1,Negeri Sembilan,1.7458333333333333
2022-2,Negeri Sembilan,1.75
2022-3,Negeri Sembilan,1.7999999999999998
2022-4,Negeri Sembilan,1.9
2022-5,Negeri Sembilan,1.95
2022-6,Negeri Sembilan,1.9
2022-7,Negeri Sembilan,1.9
2022-8,Negeri Sembilan,1.9
2022-9,Negeri Sembilan,2.0
2022-10,Negeri Sembilan,2.0
2022-11,Negeri Sembilan,2.0
2022-12,Negeri Sembilan,1.95
2023-1,Negeri Sembilan,1.94
2023-2,Negeri Sembilan,1.96
2023-3,Negeri Sembilan,1.96
2023-4,Negeri Sembilan,2.0
2023-5,Negeri Sembilan,1.9833333333333332
2023-6,Negeri Sembilan,1.98
2023-7,Negeri Sembilan,1.9833333333333332
2023-8,Negeri Sembilan,1.9833333333333332
2023-9,Negeri Sembilan,1.9857142857142855
2023-10,Negeri Sembilan,1.9833333333333332
2023-11,Negeri Sembilan,2.0333333333333337
2022-1,Pahang,1.7506666666666666
2022-2,Pahang,1.7975
2022-3,Pahang,1.798
2022-4,Pahang,1.8166666666666669
2022-5,Pahang,1.7000000000000002
2022-6,Pahang,1.86
2022-7,Pahang,1.842857142857143
2022-8,Pahang,1.8166666666666669
2022-9,Pahang,1.79875
2022-10,Pahang,1.75
2022-11,Pahang,1.78
2022-12,Pahang,1.875
2023-1,Pahang,1.8544642857142857
2023-2,Pahang,1.8375
2023-3,Pahang,1.9
2023-4,Pahang,1.9
2023-5,Pahang,1.8888888888888888
2023-6,Pahang,1.921111111111111
2023-7,Pahang,1.897
2023-8,Pahang,1.970909090909091
2023-9,Pahang,1.918
2023-10,Pahang,1.935
2023-11,Pahang,1.9977777777777777
2022-1,Perak,1.6957535121328227
2022-2,Perak,1.6666666666666667
2022-3,Perak,1.7285714285714284
2022-4,Perak,1.7578947368421052
2022-5,Perak,1.7973684210526315
2022-6,Perak,1.8022727272727272
2022-7,Perak,1.8318181818181816
2022-8,Perak,1.8473684210526315
2022-9,Perak,1.8966666666666667
2022-10,Perak,1.9023809523809525
2022-11,Perak,1.888
2022-12,Perak,1.873703703703704
2023-1,Perak,1.8626785714285714
2023-2,Perak,1.904
2023-3,Perak,1.9333333333333331
2023-4,Perak,1.917857142857143
2023-5,Perak,1.9483870967741932
2023-6,Perak,1.8785714285714286
2023-7,Perak,1.96
2023-8,Perak,1.95
2023-9,Perak,1.9566666666666668
2023-10,Perak,1.9484848484848485
2023-11,Perak,1.9451612903225808
2022-1,Perlis,1.713010752688172
2022-2,Perlis,1.7483870967741937
2022-3,Perlis,1.7518518518518518
2022-4,Perlis,1.755
2022-5,Perlis,1.7695652173913046
2022-6,Perlis,1.758823529411765
2022-7,Perlis,1.822222222222222
2022-8,Perlis,1.8533333333333333
2022-9,Perlis,1.8383333333333327
2022-10,Perlis,1.845
2022-11,Perlis,1.8345
2022-12,Perlis,1.868125
2023-1,Perlis,1.8497556390977445
2023-2,Perlis,1.908636363636364
2023-3,Perlis,1.930434782608696
2023-4,Perlis,1.961904761904762
2023-5,Perlis,1.961904761904762
2023-6,Perlis,1.945454545454545
2023-7,Perlis,1.94
2023-8,Perlis,1.917391304347826
2023-9,Perlis,1.9363636363636365
2023-10,Perlis,1.9329166666666664
2023-11,Perlis,1.8996
2022-1,Pulau Pinang,1.6506060606060604
2022-2,Pulau Pinang,1.6661904761904762
2022-3,Pulau Pinang,1.695
2022-4,Pulau Pinang,1.6795000000000002
2022-5,Pulau Pinang,1.7094999999999998
2022-6,Pulau Pinang,1.7363157894736845
2022-7,Pulau Pinang,1.7494117647058822
2022-8,Pulau Pinang,1.7744444444444445
2022-9,Pulau Pinang,1.791111111111111
2022-10,Pulau Pinang,1.786315789473684
2022-11,Pulau Pinang,1.7910526315789477
2022-12,Pulau Pinang,1.8183333333333327
2023-1,Pulau Pinang,1.8370065359477123
2023-2,Pulau Pinang,1.8121052631578949
2023-3,Pulau Pinang,1.89
