date,state,price
2022-1,Johor,1.8511711711711714
2022-2,Johor,1.8998333333333335
2022-3,Johor,1.9016666666666664
2022-4,Johor,1.9005172413793106
2022-5,Johor,1.9284615384615384
2022-6,Johor,1.9346551724137933
2022-7,Johor,1.9335
2022-8,Johor,1.933103448275862
2022-9,Johor,1.944074074074074
2022-10,Johor,1.8515384615384614
2022-11,Johor,1.9442592592592591
2022-12,Johor,2.0317283950617284
2023-1,Johor,1.9164963054187192
2023-2,Johor,1.8945833333333333
2023-3,Johor,1.9432
2023-4,Johor,1.9729629629629628
2023-5,Johor,2.0883333333333334
2023-6,Johor,2.0976785714285717
2023-7,Johor,2.0060714285714285
2023-8,Johor,2.101166666666667
2023-9,Johor,2.097471264367816
2023-10,Johor,2.1061666666666667
2023-11,Johor,2.105967741935484
2022-1,Kedah,1.689806128830519
2022-2,Kedah,1.6934375
2022-3,Kedah,1.7215625
2022-4,Kedah,1.7220588235294116
2022-5,Kedah,1.711666666666667
2022-6,Kedah,1.743548387096774
2022-7,Kedah,1.745
2022-8,Kedah,1.75
2022-9,Kedah,1.7553571428571428
2022-10,Kedah,1.9258620689655173
2022-11,Kedah,1.7553571428571428
2022-12,Kedah,1.771153846153846
2023-1,Kedah,1.7904737903225807
2023-2,Kedah,1.8114285714285716
2023-3,Kedah,1.8625
2023-4,Kedah,1.8558823529411763
2023-5,Kedah,1.8606060606060608
2023-6,Kedah,1.8722222222222225
2023-7,Kedah,1.8842105263157891
2023-8,Kedah,1.8825
2023-9,Kedah,1.8846153846153848
2023-10,Kedah,1.881578947368421
2023-11,Kedah,1.892307692307692
2022-1,Kelantan,1.7697674418604652
2022-2,Kelantan,1.775
2022-3,Kelantan,1.7580645161290325
2022-4,Kelantan,1.79
2022-5,Kelantan,1.8130434782608695
2022-6,Kelantan,1.8035714285714288
2022-7,Kelantan,1.7965517241379312
2022-8,Kelantan,1.7966666666666666
2022-9,Kelantan,1.8357142857142856
2022-10,Kelantan,1.88
2022-11,Kelantan,1.89
2022-12,Kelantan,1.902564102564103
2023-1,Kelantan,1.8922064777327936
2023-2,Kelantan,1.905
2023-3,Kelantan,1.8725
2023-4,Kelantan,1.9307692307692308
2023-5,Kelantan,1.9658536585365851
2023-6,Kelantan,1.9864864864864864
2023-7,Kelantan,1.9947368421052631
2023-8,Kelantan,1.983720930232558
2023-9,Kelantan,1.9962499999999999
2023-10,Kelantan,2.007692307692308
2023-11,Kelantan,2.0026315789473683
2022-1,Melaka,1.7457142857142858
2022-2,Melaka,1.7714285714285716
2022-3,Melaka,1.7714285714285716
2022-4,Melaka,1.7428571428571429
2022-5,Melaka,1.7666666666666666
2022-6,Melaka,1.7428571428571429
2022-7,Melaka,1.7142857142857142
2022-8,Melaka,1.7600000000000002
2022-9,Melaka,1.775
2022-10,Melaka,1.8125
2022-11,Melaka,1.8125
2022-12,Melaka,1.8111111111111111
2023-1,Melaka,1.8291666666666666
2023-2,Melaka,1.8333333333333333
2023-3,Melaka,1.8666666666666667
2023-4,Melaka,1.8888888888888888
2023-5,Melaka,1.9
2023-6,Melaka,1.9
2023-7,Melaka,1.92
2023-8,Melaka,1.945454545454545
2023-9,Melaka,1.911111111111111
2023-10,Melaka,1.92
2023-11,Melaka,1.92
2022-1,Negeri Sembilan,1.7433333333333332
2022-2,Negeri Sembilan,1.75
2022-3,Negeri Sembilan,1.7
2022-4,Negeri Sembilan,1.9
2022-5,Negeri Sembilan,1.9
2022-6,Negeri Sembilan,1.9
2022-7,Negeri Sembilan,1.9
2022-8,Negeri Sembilan,1.9
2022-9,Negeri Sembilan,1.9
2022-10,Negeri Sembilan,2.0
2022-11,Negeri Sembilan,2.0
2022-12,Negeri Sembilan,1.9
2023-1,Negeri Sembilan,1.95
2023-2,Negeri Sembilan,2.0
2023-3,Negeri Sembilan,2.0
2023-4,Negeri Sembilan,2.066666666666667
2023-5,Negeri Sembilan,2.025
2023-6,Negeri Sembilan,2.025
2023-7,Negeri Sembilan,2.02
2023-8,Negeri Sembilan,2.0
2023-9,Negeri Sembilan,2.0
2023-10,Negeri Sembilan,2.0
2023-11,Negeri Sembilan,2.075
2022-1,Pahang,1.8095238095238093
2022-2,Pahang,1.778
2022-3,Pahang,1.798
2022-4,Pahang,1.8128571428571427
2022-5,Pahang,1.7725
2022-6,Pahang,1.86
2022-7,Pahang,1.85
2022-8,Pahang,1.82
2022-9,Pahang,1.77
2022-10,Pahang,1.7600000000000002
2022-11,Pahang,1.7833333333333332
2022-12,Pahang,1.8166666666666669
2023-1,Pahang,1.8375
2023-2,Pahang,1.8375
2023-3,Pahang,1.8666666666666665
2023-4,Pahang,1.8
2023-5,Pahang,1.8166666666666669
2023-6,Pahang,1.8316666666666668
2023-7,Pahang,1.846666666666667
2023-8,Pahang,1.94
2023-9,Pahang,1.8475
2023-10,Pahang,1.8557142857142856
2023-11,Pahang,1.96125
2022-1,Perak,1.701818783068783
2022-2,Perak,1.6800000000000002
2022-3,Perak,1.7272727272727273
2022-4,Perak,1.7676470588235291
2022-5,Perak,1.8263157894736843
2022-6,Perak,1.8666666666666667
2022-7,Perak,1.838888888888889
2022-8,Perak,1.838235294117647
2022-9,Perak,1.9
2022-10,Perak,1.844736842105263
2022-11,Perak,1.83
2022-12,Perak,1.8727272727272728
2023-1,Perak,1.878611111111111
2023-2,Perak,1.926315789473684
2023-3,Perak,1.935
2023-4,Perak,1.9375
2023-5,Perak,1.948148148148148
2023-6,Perak,1.9666666666666668
2023-7,Perak,1.984
2023-8,Perak,1.951851851851852
2023-9,Perak,1.9666666666666668
2023-10,Perak,1.9666666666666668
2023-11,Perak,1.9791666666666667
2022-1,Perlis,1.7307142857142859
2022-2,Perlis,1.7280000000000002
2022-3,Perlis,1.7782608695652171
2022-4,Perlis,1.7952380952380953
2022-5,Perlis,1.80625
2022-6,Perlis,1.792142857142857
2022-7,Perlis,1.8555555555555556
2022-8,Perlis,1.8823529411764703
2022-9,Perlis,1.8716666666666664
2022-10,Perlis,1.8678947368421053
2022-11,Perlis,1.8661111111111115
2022-12,Perlis,1.851904761904762
2023-1,Perlis,1.8502525252525253
2023-2,Perlis,1.895
2023-3,Perlis,1.91625
2023-4,Perlis,1.9404545454545452
2023-5,Perlis,1.9495454545454545
2023-6,Perlis,1.947142857142857
2023-7,Perlis,1.951904761904762
2023-8,Perlis,1.925
2023-9,Perlis,1.9423809523809523
2023-10,Perlis,1.9430434782608692
2023-11,Perlis,1.9454166666666663
2022-1,Pulau Pinang,1.6565162907268172
2022-2,Pulau Pinang,1.6709523809523812
2022-3,Pulau Pinang,1.704090909090909
2022-4,Pulau Pinang,1.695217391304348
2022-5,Pulau Pinang,1.7086363636363635
2022-6,Pulau Pinang,1.7328571428571429
2022-7,Pulau Pinang,1.7466666666666668
2022-8,Pulau Pinang,1.768888888888889
2022-9,Pulau Pinang,1.7905882352941176
2022-10,Pulau Pinang,1.7847058823529411
2022-11,Pulau Pinang,1.7958823529411765
2022-12,Pulau Pinang,1.825294117647059
2023-1,Pulau Pinang,1.8511624649859943
2023-2,Pulau Pinang,1.826875
2023-3,Pulau Pinang,1.889375
2023-4,Pulau Pinang,1.9525000000000001
2023-5,Pulau Pinang,1.892941176470588
2023-6,Pulau Pinang,1.8479999999999999
2023-7,Pulau Pinang,1.9017647058823528
2023-8,Pulau Pinang,1.8603125
2023-9,Pulau Pinang,1.927894736842105
2023-10,Pulau Pinang,1.9415
2023-11,Pulau Pinang,1.9615
2022-1,Sabah,1.6573185185185184
2022-2,Sabah,1.6324999999999998
2022-3,Sabah,1.6404761904761906
2022-4,Sabah,1.6456521739130436
2022-5,Sabah,1.6116666666666666
2022-6,Sabah,1.6582608695652177
2022-7,Sabah,1.6903703703703703
2022-8,Sabah,1.6886956521739132
2022-9,Sabah,1.7083333333333333
2022-10,Sabah,1.725
2022-11,Sabah,1.8544642857142861
2022-12,Sabah,1.9948275862068967
2023-1,Sabah,1.7308531746031743
2023-2,Sabah,1.73125
2023-3,Sabah,1.7642857142857142
2023-4,Sabah,1.7692307692307692
2023-5,Sabah,1.7957692307692308
2023-6,Sabah,1.8204166666666663
2023-7,Sabah,1.8265384615384617
2023-8,Sabah,1.8292592592592596
2023-9,Sabah,1.825555555555556
2023-10,Sabah,1.8204166666666663
2023-11,Sabah,1.8329166666666667
2022-1,Sarawak,1.7873202614379087
2022-2,Sarawak,1.81875
2022-3,Sarawak,1.8357142857142856
2022-4,Sarawak,1.876923076923077
2022-5,Sarawak,1.8333333333333333
2022-6,Sarawak,1.8923076923076925
2022-7,Sarawak,1.85625
2022-8,Sarawak,1.8368421052631576
2022-9,Sarawak,1.8666666666666667
2022-10,Sarawak,1.8521739130434784
2022-11,Sarawak,1.86
2022-12,Sarawak,1.8695652173913044
2023-1,Sarawak,1.8792483660130719
2023-2,Sarawak,1.9428571428571424
2023-3,Sarawak,1.7708333333333335
2023-4,Sarawak,1.94
2023-5,Sarawak,1.948148148148148
2023-6,Sarawak,1.95
2023-7,Sarawak,1.9375
2023-8,Sarawak,1.952173913043478
2023-9,Sarawak,1.9208333333333332
2023-10,Sarawak,1.924
2023-11,Sarawak,1.948
2022-1,Selangor,1.7904545454545453
2022-2,Selangor,1.7875
2022-3,Selangor,1.8275
2022-4,Selangor,1.7727272727272727
2022-5,Selangor,1.7399999999999998
2022-6,Selangor,1.8071428571428567
2022-7,Selangor,1.7777777777777777
2022-8,Selangor,2.53
2022-9,Selangor,2.326923076923077
2022-10,Selangor,1.7909090909090908
2022-11,Selangor,1.7954545454545454
2022-12,Selangor,1.7954545454545454
2023-1,Selangor,1.82
2023-2,Selangor,1.8875
2023-3,Selangor,1.91
2023-4,Selangor,1.92
2023-5,Selangor,1.911111111111111
2023-6,Selangor,1.9222222222222225
2023-7,Selangor,1.9363636363636365
2023-8,Selangor,1.9272727272727272
2023-9,Selangor,1.9384615384615385
2023-10,Selangor,1.95
2023-11,Selangor,1.963636363636364
2022-1,Terengganu,1.7772363636363635
2022-2,Terengganu,1.7985714285714287
2022-3,Terengganu,1.7684210526315791
2022-4,Terengganu,1.81
2022-5,Terengganu,1.80625
2022-6,Terengganu,1.9348
2022-7,Terengganu,1.9846428571428567
2022-8,Terengganu,2.013333333333333
2022-9,Terengganu,2.017692307692308
2022-10,Terengganu,1.98625
2022-11,Terengganu,1.930344827586207
2022-12,Terengganu,1.9679310344827583
2023-1,Terengganu,1.969406130268199
2023-2,Terengganu,1.964074074074074
2023-3,Terengganu,2.057586206896552
2023-4,Terengganu,2.0853333333333333
2023-5,Terengganu,2.0742857142857143
2023-6,Terengganu,2.036538461538462
2023-7,Terengganu,2.0706451612903227
2023-8,Terengganu,2.096315789473684
2023-9,Terengganu,2.121714285714286
2023-10,Terengganu,2.0224242424242425
2023-11,Terengganu,2.042058823529412
2022-1,W.P. Kuala Lumpur,1.7462412587412586
2022-2,W.P. Kuala Lumpur,1.7415384615384617
2022-3,W.P. Kuala Lumpur,1.711666666666667
2022-4,W.P. Kuala Lumpur,1.7326666666666666
2022-5,W.P. Kuala Lumpur,1.731818181818182
2022-6,W.P. Kuala Lumpur,1.859375
2022-7,W.P. Kuala Lumpur,1.7363636363636366
2022-8,W.P. Kuala Lumpur,1.727777777777778
2022-9,W.P. Kuala Lumpur,1.755
2022-10,W.P. Kuala Lumpur,1.8092857142857144
2022-11,W.P. Kuala Lumpur,1.816
2022-12,W.P. Kuala Lumpur,1.8664285714285715
2023-1,W.P. Kuala Lumpur,1.840888888888889
2023-2,W.P. Kuala Lumpur,1.8678571428571429
2023-3,W.P. Kuala Lumpur,1.834375
2023-4,W.P. Kuala Lumpur,1.83
2023-5,W.P. Kuala Lumpur,1.85625
2023-6,W.P. Kuala Lumpur,1.865625
2023-7,W.P. Kuala Lumpur,1.8265625
2023-8,W.P. Kuala Lumpur,1.875
2023-9,W.P. Kuala Lumpur,1.8708333333333331
2023-10,W.P. Kuala Lumpur,1.917857142857143
2023-11,W.P. Kuala Lumpur,1.926923076923077
2022-1,W.P. Labuan,1.6
2022-2,W.P. Labuan,1.65
2022-3,W.P. Labuan,1.65
2022-4,W.P. Labuan,1.7
2022-5,W.P. Labuan,1.6
2022-6,W.P. Labuan,1.6
2022-7,W.P. Labuan,1.6
